"code","dep_time","dep_place","arr_time","arr_place","aircraft","time"
"AC 1984","14:30","YVR","21:55","MEX","Airbus A319","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AE 1817","12:45","RMQ","14:15","HKG","Embraer 190",""
"AE 1819","07:30","RMQ","09:10","HKG","Boeing 737-800",""
"AE 1831","18:20","RMQ","19:50","HKG","Boeing 737-800",""
"AE 1841","16:55","RMQ","18:25","HKG","Boeing 737-800",""
"AE 1855","07:30","RMQ","09:20","HAN","Embraer 190",""
"AE 1857","07:55","RMQ","10:20","SGN","Boeing 737-800",""
"AE 211","07:45","TSA","09:15","FOC","Boeing 737-800",""
"AE 262","12:15","RMQ","15:50","ICN","Embraer 190",""
"AE 269","06:20","TPE","09:40","CGQ","Boeing 737-800","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AE 342","12:50","MZG","13:30","KHH","Embraer 190",""
"AE 344","12:45","MZG","13:25","KHH","Embraer 190",""
"AE 346","08:50","MZG","09:30","KHH","Embraer 190",""
"AE 348","16:20","MZG","17:00","KHH","Embraer 190",""
"AE 350","16:40","MZG","17:20","KHH","Embraer 190",""
"AE 5001","17:30","TPE","19:10","NKG","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AE 5003","11:15","TPE","12:40","NGB","Airbus A320",""
"AE 5007","18:00","TPE","19:55","NKG","Airbus A320","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"AE 5101","11:25","TPE","13:00","XMN","Boeing 737-800",""
"AE 5104","20:10","TPE","22:45","CSX","Boeing 737-800",""
"AE 5213","07:50","KHH","09:20","HKG","Airbus A330-300",""
"AE 5217","19:00","KHH","20:30","HKG","Airbus A330-300",""
"AE 5227","14:00","KHH","15:35","HKG","Airbus A330-300",""
"AE 5975","19:05","TPE","21:55","SHE","Airbus A320","['No', 'No', 'Yes', 'No', 'No', 'No', 'Yes']"
"AE 5977","15:50","TPE","18:35","CSX","Airbus A320",""
"AE 5979","12:20","TPE","15:40","CGQ","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']"
"AE 5993","11:50","TPE","14:40","CGO","Boeing 737-800","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AE 7221","16:20","RMQ","18:25","WUX","Boeing 737-800",""
"AE 732","08:50","HUN","09:40","RMQ","Embraer 190",""
"AE 764","09:30","KNH","10:25","RMQ","Embraer 190",""
"AE 766","12:55","KNH","13:50","RMQ","Embraer 190",""
"AE 782","16:40","MZG","17:20","RMQ","Embraer 190",""
"AE 784","11:05","MZG","11:45","RMQ","Embraer 190",""
"AE 7932","15:30","HUN","16:25","KHH","Embraer 190",""
"AE 953","17:20","KHH","19:40","CSX","Boeing 737-800",""
"AE 955","15:05","RMQ","17:55","WUH","Embraer 190",""
"AE 957","16:30","TSA","17:45","WNZ","Boeing 737-800",""
"AE 965","16:35","RMQ","18:15","NGB","Embraer 190",""
"AE 967","07:30","KHH","09:00","XMN","Boeing 737-800",""
"AE 975","14:35","TPE","17:45","SHE","Boeing 737-800","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AE 977","09:10","TPE","11:50","CSX","Airbus A330-300",""
"AE 979","14:40","RMQ","16:25","HGH","Embraer 190",""
"AE 981","09:10","KHH","10:30","HKG","Boeing 737-800",""
"AE 987","08:30","TPE","10:20","NKG","Boeing 747-400","['Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No']"
"AE 989","16:10","TPE","18:00","NGB","Airbus A330-300",""
"AE 991","08:45","TPE","10:30","XMN","Airbus A330-300",""
"AE 993","15:05","TPE","18:05","CGO","Airbus A330-300",""
"AE 995","07:45","KHH","09:50","HGH","Airbus A330-300",""
"AF 4600","09:35","CDG","10:30","LUX","De Havilland DHC-8 Dash 8-400 Dash 8Q","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AF 5032","09:45","CDG","11:30","PRG","Airbus A319","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AF 5040","10:00","CDG","12:00","VIE","Airbus A321","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AF 8224","09:10","CDG","10:30","AMS","Boeing 737-700 Winglets","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AF 8228","09:35","CDG","10:50","AMS","Boeing 737-700 Winglets","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AF 8230","10:15","CDG","11:35","AMS","Boeing 737-900 Winglets","['No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes']"
"AF 8299","10:00","AMS","11:30","SVG","Embraer 190","['Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes']"
"AF 8415","23:55","TPE","06:55","AMS","Boeing 777-200/200ER",""
"AH 4063","09:40","DXB","14:20","ALG","Airbus A330","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"AI 102","17:00","DEL","19:10","BOM","Boeing 777-300ER","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AI 135","15:00","DEL","20:20","MAD","Boeing 787-8","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"AI 153","14:05","DEL","18:45","VIE","Boeing 787-8","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AI 236","12:55","RGN","16:25","DEL","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'No']"
"AI 315","18:05","HKG","01:15","BOM","Boeing 787-8","['Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No']"
